index;noi_dung_binh_luan;noi_dung_binh_luan_dung_chinh_ta
3733;ngon bổ rẻ là đây nè. tẩy trang sạch, dễ rửa, mềm mịn da. nói chung đáng mua;ngon bổ rẻ là đây nè. tẩy trang sạch, dễ rửa, mềm mịn da
3735;mức độ hài lòng trung bình, có thể cải thiện hơn.;mức độ hài lòng trung bình, có thể cải thiện hơn.
3736;mãi đến bây giờ sau 1 năm sử dụng bộ đôi này mình mới hấp thụ được tinh tuý của chúng. thật sự bộ này hiệu quả nha, tuy giá có hơi chát thật mà chậm tiến triển nhưng có lẽ nó làm việc ở bên trong bên dưới lớp da, sau khi hoàn thiện rồi bề mặt da mới biểu hiện rõ ràng được. bộ đôi này mình sử dụng vào buổi tối nha…;mãi đến bây giờ sau 1 năm sử dụng bộ đôi này mình mới hấp thụ được
3738;kcn nâng tone thơm dạng đặc mình da dầu sd rất thích;Khi nâng tone, thơm dạng đặc mình da dầu sẽ rất thích.
3744;sản phẩm xài rất ok;Sản phẩm xài rất ok.
3745;rất ok luôn nha, so với mặt bằng chung serum ha thì e này ngậm nước khá tốt. ko quá lỏng, ko quá đặc. ai da khô hay đang treatment bong tróc xài sẽ thấy rất mướt luôn á;rất ok luôn nha, so với mặt bằng chung serum hóa thì kem này ng
3747;loại này có màu đỏ cam nhẹ, ko bị base hồng mà cũng lên màu khá rõ nên mình sài ban ngày như son bóng rất đẹp, dưỡng môi ẩm cực kì, mình sẽ mua thêm chắc chắn;Loại này có màu đỏ cam nhẹ, ko bị base hồng mà cũng lên màu khá
3749;ưu điểm: mặt nạ thơm, đắp xong cấp ấm tức thì, mịn da, sale giá rẻ lắm nhược điểm: không hiểu sao thấy hơi khó đắp một tí (kiểu form mặt nạ hơi kì sao á) => giá rẻ mà chất lượng vậy là ổn rồi;Ưu điểm: mặt nạ thơm, đắp xong cấp ấm tức thì, mịn da,
3751;nước tẩy trang sài rất tốt, tẩy trang sạch k bị rít, k bị khô ra như mấy loại khác, nước tẩy trang này là chân ái của mình rồi;Nước tẩy trang sài rất tốt, tẩy trang sạch, không bị rít
3753;bông đợt này bị mỏng và rất dễ rách.;bông đợt này bị mỏng và rất dễ rách.
3755;tẩy trang tốt, nhưng ghét mùi;Tẩy trang tốt, nhưng ghét mùi.
3756;mìn tìm kcn giá hợp lý và vô tình lướt trúng review của chị rư về em này, sau nhiều lần đổi kcn thì đây là loại ngon bổ rẻ với mình, da mình là dầu, lớp finish khô thoáng, mùi đối với mình cũng dễ chịu. nhất định sẽ mua lại;Mình tìm kiếm giá hợp lý và vô tình lướt trúng review của chị r
3760;xịn;xịn.
3761;lần dầu tiên sử dụng tẩy tbc hóa học sử dụng sp này đc k ạ, tần suất ít sau sẽ tăng lên, vì chai màu trắng k có size nhỏ;Lần dầu tiên sử dụng tẩy tóc hóa học, sử dụng số này để
3762;mình xài nửa hũ rồi mới đánh giá. chất kem đặc, thấm hơi lâu, ngày nào hầm nóng thì mình ko xài vì thấy bí da. kem có một tí mùi hương liệu nhẹ. kem xài được khá lâu, mua lúc sale nên thấy rất đáng tiền. sau khi thoa trên mặt luôn có cảm giác ẩm, mọng nước. tuy nhiên lần sau mình sẽ trải nghiệm loại kem dạng gel;Mình xài nửa hũ rồi mới đánh giá. Chất kem đặc, thấm
3763;độ ph của serum 4-6 còn sản phẩm này 6,5 ổn không đây?;độ pH của serum 4-6 còn sản phẩm này 6,5 ổn không đây?
3766;sản phẩm thì ok nhưng không được tặng bông tẩy trang hay 15k;Sản phẩm thì ok nhưng không được tặng bông tẩy trang hay 15k.
3768;sp chất lượng, rửa xong da mịn màng, mướt mát!!! ngon hơn dòng rosette (đối với da mình là vậy);SP chất lượng, rửa xong da mịn màng, mướt mát!!! ngon hơn
3769;mua đợt này nghe mùi cồn kinh khủng;Mua đợt này nghe mùi cồn kinh khủng.
3771;xài rất ok, da mình đang treatment xài rất mướt, nâng tông nhẹ, ko cồn cho da nhạy cảm nên yên tâm nữa;Xài rất ok, da mình đang treatment, xài rất mư
3774;huhu mình mới mua của shop mà dùng không hợp . mình pass rẻ lại ạ.;huhu mình mới mua của shop mà dùng không hợp . mình pass rẻ lại
3775;kem xài chất ok rất đẹp ạ. thấm nhanh trên da để lại lớp kem mỏng nhẹ .;Kem xài chất ok rất đẹp ạ. thấm nhanh trên da để lại lớp
3776;giá hợp lý và 1 tuýt to lắm luôn. srm ko mùi, rửa xong da mềm ko có cảm giác bị khô da. mình thấy srm này dùng ok nè mng;Giá hợp lý và 1 tuýt to lắm luôn. Spam ko mùi, rửa
3777;thích cái này sau khi xài thử ở cửa hàng, mua tới tuýp thứ ba rồi. hsk khuyến mãi nhiều mà giao hàng nhanh nữa, mãi ưng.;thích cái này sau khi xài thử ở cửa hàng, mua tới tuý
3779;tẩy sạch ko khô da nhưng da bị nhạy cảm xài siêu rát luôn;Tẩy sạch, ko khô da nhưng da bị nhạy cảm, xài
3781;sử dụng dễ dàng, rất thoáng mát thu giản đến tột độ;Sử dụng dễ dàng, rất thoáng mát, thư giản đến tột độ.
3784;hồi đó xài thích ghê, giờ thì bông rất tệ. mỏng và đau da á đang kiếm loại mới mềm hơn;Hồi đó xài thích ghê, giờ thì bông rất tệ. mỏng
3786;ênỳrdbrjjrjktmtnm;lên quỳrdbrjjtmtn.m.
3788;nhận được đúng sản phẩm, chưa dùng thử;nhận được đúng sản phẩm, chưa dùng thử.
3791;cực kì tệ, mua rất nhiều lần nhưng lần này chê nha, bông gì lau nhẹ cái là rách làm đôi, vải tưa và mỏng, bình thường ở nhà tẩy 3 miếng là đủ, nay phải dùng 6 miếng kẹp thành 3 cái để lau, nên xem lại !;cực kì tệ, mua rất nhiều lần nhưng lần này chê nha, bông gì
3792;dạ mềm mịn và có vẽ sáng hơn;Da mềm, mịn và có vẽ sáng hơn.
3794;dùng ngứa da sần sùi không hiệu quả!!;Dùng ngứa, da sần sùi không hiệu quả!!.
3795;mình dùng thấp mất tiu mụn chỉ còn lại da non. còn mụn ẩn mụn ơ đồ nổi lên hết để khô cồi mụn rồi bay đi mất. cảm ơn sản phẩm nhiều. (mình bị mụn viêm, mụn bọc);Mình dùng thấp mất tiêu mụn, chỉ còn lại da non. còn mụn ẩ
3796;mùi dễ chịu, giam mụn;Mùi dễ chịu, giảm mụn.
3799;đắp xong mặt căng bóng, da sáng thích lắm ạ;Đắp xong mặt căng bóng, da sáng thích lắm ạ!
3801;mình được a nv cn lê văn sỹ tư vấn kcn này cực kì xịn, giá so zs chất lượng thì rất tốt, dung tích thi 80ml xài được lâu, mình da dầu (rất nhiều dầu) mà sd kcn này đến trưa thì mặt vẫn ráo, mịn vẫn mà không bị xuống tone nữa. sd 1 tg thi kh bị lên mụn nha, sẽ mua lại nữa.;Mình được a nv, cn lê văn sỹ tư vấn: Knc này
3803;da mình không sẹo rỗ dùng em này thấy bình thường không thấy mịn da hơn chút nào;Da mình không sẹo, rồi dùng em này thấy bình thường, không thấy mịn da
3804;sạch sâu, thơm nhẹ nhàng , mình thấy khá là ổn ah;sạch sâu, thơm nhẹ nhàng , mình thấy khá là ổn ah!
3806;srm dùng thích lắm;Em dùng thích lắm.
3807;phục hồi da yếu và đang bị dị ứng, kích ứng, dùng thấy da mướt hơn hẳn.;phục hồi da yếu và đang bị dị ứng, kích ứng, dùng thấy da m
3809;bao bì sản phẩm rất đẹp, cầm chắc tay. chất kem mỏng nhẹ, trong suốt, thấm nhanh vào da. mùi hương rất dễ chịu. tổng quan sản phẩm rất tuyệt vời với mức giá phải chăng.;bao bì sản phẩm rất đẹp, cầm chắc tay. chất kem mỏng nhẹ, trong
3811;mùi hương dễ chịu, làm mát nhanh giá thành ổn;Mùi hương dễ chịu, làm mát nhanh, giá thành ổn.
3814;ai mới dùng chắc sẽ thấy mùi hơi hắc nhưng dùng đến lần 2,3 thì thấy quen ngay , mình thuộc da dầu mụn nên thấy loại này tẩy da chết chỉ ở mức độ trung bình thôi nhưng vs giá này thì cũng ko đòi hỏi quá đc;Ai mới dùng chắc sẽ thấy mùi hơi hắc nhưng dùng đến lần 2,3 thì thấy
3815;mình da nhạy cảm, dầu (lâu lâu có vài nốt mụn) mình dùng em srm simple xanh này thấy oke dùng kiềm dầu và rất sạch mặt nhưng có khi hơi khô da 1 tý nha. giá rẻ chất lượng quá oke nchung là rcm nên dùng nha !!;Mình da nhạy cảm, dầu (lâu lâu có vài nốt mụn) mình
3817;mê nha ai hay makeup sài em này sạch nè;Mê nha, ai hay makeup sài em này sạch nè.
3820;mình mới dùng 3 4 lần thì thấy oke nha, kiềm dầu nhưng vẫn giữ đc độ ẩm sau khi rửa, mn nên thử;Mình mới dùng 3 4 lần thì thấy khá nhậy, kiềm dầu nhưng vẫn
3822;sau 1 tuần sử dụng thì mình thấy khá ưng ý với sản phẩm của cocoon. nước tẩy trang rất dịu nhẹ, chỉ cần dùng 3 cái bông tẩy trang là cảm giác đã sạch, mùi hơi giống mùi chanh. kem chống nắng hơi vón, nhẹ mặt, không mùi. nói chung là mua theo combo này thì thấy hợp lý;Sau 1 tuần sử dụng thì mình thấy khá ưng ý với sản phẩm của
3823;nói về em mask của sur.medic thì đúng là tiền nào của nấy nha :)))) đắp xong da mịn hơn hẳn, căng bóng xịn lắm;Nói về em mask của sur.medic thì đúng là tiền nào của nấy
3826;bắt đầu xài da đàn bị mụn viêm mụn sưng đủ thứ, xài tầm 1 tuần da mướt hẳn, mụn cũng đỡ hơn nhiều, sẽ cân nhắc đổi sang loại probiotic;bắt đầu xài, da đàn bị mụn viêm, mụn sưng đủ thứ
3827;10 điểm;10 điểm.
3828;cấp ẩm rất tốt. da mình là hỗn hợp thiên dầu, sử dụng thấy rất ổn, tối dùng sáng dậy ko bị đổ dầu nhiều. đáng đồng tiền lắm nhé!;cấp ẩm rất tốt. da mình là hỗn hợp thiên dầu, sử
3829;kem chống nắng đỉnh thật sự bạn nào nhiều dầu nên dùng thử. xài xg nghiện luôn. kiềm dầu rất đỉnh luôn. mà mặt còn khô thoáng ko hề có cảm giác nặng mặt. kiềm dầu cả ngày;Kem chống nắng đỉnh thật sự, bạn nào nhiều dầu nên dùng thử. Xà
3830;aaaa nhờ megaduo mà da tui cải thiện rõ.;aaaa nhờ megaduo mà da tui cải thiện rõ.
3831;mặt nạ dùng tốt;Mặt nạ dùng tốt.
3835;rất ok nha nhưng phải biết cách dùng. nhiều bạn ko đọc kỹ hướng dẫn, gel thoa trực tiếp hoặc đánh bọt không bông lên vì ít nước thì không được nha, nhớt da rửa khó sạch. cái này là phù hợp cho những ai dùng tẩy trang nước xong muốn có một sữa rửa mặt dịu nhẹ nhất (kiểu như sạch hơn nước nhưng không căng rít như các loại srm khác), cực phù hợp vào buổi sáng sau tẩy trang nước của simple luôn. trước mình dùng cetaphil nhưng mình không thích cái texture của nó lắm nên qua loại này và lại rẻ hơn nữa. và mình chỉ dùng sáng/trưa, hoặc các tối mà chu trình dưỡng da có tẩy tế bào chết/mặt nạ làm sạch này nọ. vẫn thủ thêm một chai srm sạch sâu hơn và dĩ nhiên nó sẽ căng rít hơn nên sau đó là chu trình dưỡng da thật kỹ.;rất ok nha nhưng phải biết cách dùng. nhiều bạn ko đọc kỹ hướng dẫn,
3836;sài loại có dầu da bị lên mụn... đổi qua loại này thì quá ok luôn.;sài loại có dầu da bị lên mụn... đổi qua loại này thì quá
3838;mình dùng nhiều lắm rồi, k nhớ là chai thứ bao nhiêu luôn, dùng thích, kiềm dầu, k bết, k vón, giá cả phải chăng nữa;Mình dùng nhiều lắm rồi, k nhớ là chai thứ bao nhiêu luôn, dùng
3840;đó giờ mua hàng rất lười đánh giá, nhưng lần này thật sự hài lòng về hasaki, đóng gói cẩn thận, giao hàng nhanh, mỹ phẩm thì chính hãng 100% rồi nên ko cần quảng cáo;Đó giờ mua hàng rất lười đánh giá, nhưng lần này thật sự hài lòng
3844;mờ ê mê;mờ ê mê.
3848;dùng sp này bị ghiền luôn, hạt siêu mịn, mùi thơm dễ chịu, da sạch hơn sau khi dùng.;Dùng sp này bị ghiền luôn, hạt siêu mịn, mùi thơm dễ chịu,
3849;sản phẩm vô thưởng vô phạt trên người có làn da trâu như mình;Sản phẩm vô thưởng vô phạt trên người có làn da trâu như mình.
3850;cáo từ, laroche tuy mình ko ưng lắm nhưng so với em này vẫn ưu ái hơn da mình dầu, dù cấp ẩm hay ko cấp ẩm dùng loại này vẫn bị bong/đọng bột, vệt trắng trên da, mùi hương khỏi nói nồng ngây ngất luôn, bóng và hơi đặc nóng giống laroche nhưng lớp finish ko hề đẹp bằng;Cát từ, laroche tuy mình ko ưng lắm nhưng so với
3851;mở ra đã nghe mùi hương liệu nồng sộc lên mũi, mùi hương liệu quá nhiều, đắp lần đầu không quá 10p đã phải đi rửa mặt vì không chịu được. sẽ không mua lại.;mở ra đã nghe mùi hương liệu nồng sộc lên mũi, mùi hương liệu
3852;sản phẩm dùng rất thích, kết cấu thoáng nhẹ, không bóng mặt, kiềm dầu tương đối (da mình là hh dầu). khi mới apply có hương phấn hoa mình không thích tí, nhưng bay nhanh nên cũng ổn. lúc nhận hàng còn được tặng kèm kèm lotion của hada labo nữa dù chưa thấy trên app í, chắc đang trong thời gian khuyến mãi. sẽ mua tiếp khi hết.;Sản phẩm dùng rất thích, kết cấu thoáng nhẹ, không bóng mặt, kiềm
3856;bọt nhiều (sạch da);bọt nhiều (sạch da).
3857;xài ok lắm nha;Xài ok lắm nha!.
3858;hàng tới tay đóng gói cẩn thận, chất lượng miễn chê;Hàng tới tay đóng gói cẩn thận, chất lượng miễn chê.
3861;mình được tư vấn dùng loại kcn này nhưng khá thất vọng. mình từng dùng nhiều loại kcn nhưng chưa bao giờ có hiện tượng vón cục như thế này. kem thấm khá nhanh nhưng sau đó trên mặt xuất hiện rất nhiều hạt trắng nhỏ li ti dù mình đã cố apply kỹ và có time set kcn. thiệt hết cách với kcn này;Mình được tư vấn dùng loại kem này nhưng khá thất vọng. Mình từng dùng nhiều
3862;không biết người khác xài sao nhưng bản thân mình thấy rất tốt. dưỡng chất nhiều và đặc biệt là chất liệu mặt nạ cực mỏng nhẹ và êm ái không bị xơ gây rát da như sp khác.;không biết người khác xài sao nhưng bản thân mình thấy rất tốt. dưỡng
